epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1994,0.80908,2.14843,1.14165,0.8614,0.66667,0.83936,0.66453,0.64421,2.7102,0.965,0.00044,0.00044,0.00044
2,76.1998,0.81686,1.65206,1.12489,1,0.67833,0.87279,0.68058,0.91191,2.77698,1.11766,0.00088218,0.00088218,0.00088218
3,113.253,0.891,1.52084,1.16586,1,0.274,0.47499,0.27051,1.21052,3.55019,1.55141,0.00130614,0.00130614,0.00130614
4,149.937,1.06961,1.55393,1.24711,0.96717,0.66667,0.76072,0.5563,1.16859,2.48825,1.32031,0.00171189,0.00171189,0.00171189
5,186.581,1.11449,1.87701,1.25397,0.92727,0.8509,0.8879,0.65301,1.03133,2.0413,1.31178,0.0018416,0.0018416,0.0018416
6,223.715,1.05392,1.63272,1.29836,1,0.86527,0.95598,0.70506,0.92782,1.67901,1.13051,0.001802,0.001802,0.001802
7,260.246,1.01675,1.48081,1.24354,1,0.85231,0.96716,0.75849,0.927,1.6205,1.11715,0.0017624,0.0017624,0.0017624
8,296.412,1.04862,1.34322,1.22781,0.93214,0.91662,0.96437,0.7039,0.87169,1.53584,1.0925,0.0017228,0.0017228,0.0017228
9,333.305,0.95845,1.23887,1.16669,0.88227,0.86667,0.91007,0.70221,0.95107,1.43786,1.13157,0.0016832,0.0016832,0.0016832
10,369.283,0.91731,1.19721,1.17452,0.74733,0.98649,0.93933,0.74246,0.88537,1.30118,1.14521,0.0016436,0.0016436,0.0016436
11,405.09,1.0088,1.09658,1.20962,0.78112,0.86667,0.93723,0.7357,0.89355,1.36583,1.13086,0.001604,0.001604,0.001604
12,440.99,0.99517,1.09752,1.18909,1,0.9256,0.97786,0.77087,0.85687,1.09861,1.14812,0.0015644,0.0015644,0.0015644
13,477.314,0.86691,1.02684,1.11199,0.99484,1,0.995,0.82152,0.74719,0.87806,1.00029,0.0015248,0.0015248,0.0015248
14,513.413,0.93049,1.01099,1.18465,0.93706,0.99296,0.98688,0.79919,0.70681,0.88123,0.99464,0.0014852,0.0014852,0.0014852
15,549.376,0.95175,1.04445,1.18515,1,0.98332,0.995,0.83214,0.6902,1.09259,0.97907,0.0014456,0.0014456,0.0014456
16,585.215,0.93384,0.97307,1.16426,0.8614,0.86667,0.88672,0.71065,0.81644,1.48256,1.06371,0.001406,0.001406,0.001406
17,621.199,0.93173,0.96911,1.17767,0.99013,0.86667,0.95865,0.7676,0.71972,0.96662,0.96396,0.0013664,0.0013664,0.0013664
18,657.321,0.8358,0.87163,1.12326,0.86962,1,0.94327,0.75402,0.70221,0.94317,1.0089,0.0013268,0.0013268,0.0013268
19,693.289,0.82969,0.80673,1.09438,0.99162,1,0.995,0.88218,0.54938,0.8299,0.90555,0.0012872,0.0012872,0.0012872
20,729.068,0.77242,0.80659,1.08862,1,0.99533,0.995,0.87569,0.57518,0.7294,0.9135,0.0012476,0.0012476,0.0012476
21,765.062,0.84432,0.75991,1.11485,0.99578,1,0.995,0.84931,0.59256,0.65757,0.92332,0.001208,0.001208,0.001208
22,800.919,0.83725,0.85904,1.12619,0.99421,1,0.995,0.85631,0.59839,0.65685,0.93889,0.0011684,0.0011684,0.0011684
23,836.649,0.79229,0.75222,1.11043,0.9951,1,0.995,0.81758,0.67866,0.63102,0.94087,0.0011288,0.0011288,0.0011288
24,872.492,0.73598,0.73138,1.064,1,0.9953,0.995,0.84055,0.63233,0.61214,0.92655,0.0010892,0.0010892,0.0010892
25,908.212,0.73157,0.71256,1.03829,1,0.99417,0.995,0.84203,0.59468,0.60803,0.92023,0.0010496,0.0010496,0.0010496
26,944.524,0.84921,0.76462,1.15976,0.99508,0.93333,0.99125,0.80923,0.66266,0.68487,1.00357,0.00101,0.00101,0.00101
27,981.243,0.73605,0.68274,1.03764,0.99336,0.93333,0.99125,0.7955,0.60158,0.55794,1.0396,0.0009704,0.0009704,0.0009704
28,1017.19,0.67677,0.60553,1.0335,0.99545,1,0.995,0.82086,0.64402,0.55537,1.03568,0.0009308,0.0009308,0.0009308
29,1053.62,0.7808,0.67794,1.12706,0.99495,1,0.995,0.85561,0.59494,0.54163,0.92147,0.0008912,0.0008912,0.0008912
30,1089.42,0.70611,0.6219,1.04455,0.99526,1,0.995,0.87863,0.57792,0.52975,0.91874,0.0008516,0.0008516,0.0008516
31,1125.42,0.72589,0.67008,1.07451,0.99578,1,0.995,0.84839,0.62069,0.53006,0.94324,0.000812,0.000812,0.000812
32,1161.27,0.70296,0.66096,1.03076,0.99406,1,0.995,0.86106,0.58248,0.52611,0.93062,0.0007724,0.0007724,0.0007724
33,1197.27,0.71338,0.60965,1.10891,0.93503,1,0.995,0.86372,0.60341,0.5241,0.93825,0.0007328,0.0007328,0.0007328
34,1233.42,0.64997,0.64584,1.00462,0.93336,1,0.98688,0.81967,0.6787,0.54523,0.95127,0.0006932,0.0006932,0.0006932
35,1269.7,0.68613,0.58999,1.04867,0.99461,1,0.995,0.85082,0.6128,0.50261,0.92319,0.0006536,0.0006536,0.0006536
36,1305.08,0.70725,0.63584,1.03814,0.99551,1,0.995,0.83957,0.58645,0.48699,0.92179,0.000614,0.000614,0.000614
37,1340.87,0.67453,0.57646,1.04362,0.99666,1,0.995,0.8881,0.52538,0.47739,0.88328,0.0005744,0.0005744,0.0005744
38,1376.8,0.65525,0.5393,1.02341,0.99643,1,0.995,0.9056,0.48906,0.451,0.86612,0.0005348,0.0005348,0.0005348
39,1412.43,0.66431,0.57654,1.04356,0.99909,1,0.995,0.91249,0.43938,0.43025,0.84666,0.0004952,0.0004952,0.0004952
40,1447.86,0.58719,0.54096,0.9869,0.99854,1,0.995,0.89575,0.49204,0.43868,0.86577,0.0004556,0.0004556,0.0004556
41,1483.45,0.44757,0.44666,0.89878,0.99954,1,0.995,0.87976,0.4996,0.42699,0.88335,0.000416,0.000416,0.000416
42,1518.87,0.41479,0.41864,0.89866,1,0.99825,0.995,0.8841,0.4864,0.42517,0.88142,0.0003764,0.0003764,0.0003764
43,1553.47,0.44377,0.41059,0.90255,0.99877,1,0.995,0.89079,0.48425,0.41309,0.88057,0.0003368,0.0003368,0.0003368
44,1588.08,0.40404,0.4054,0.86541,0.99877,1,0.995,0.90348,0.47655,0.38112,0.87781,0.0002972,0.0002972,0.0002972
45,1623.04,0.39306,0.37922,0.85926,0.99678,1,0.995,0.90246,0.46343,0.38866,0.87054,0.0002576,0.0002576,0.0002576
46,1657.85,0.40931,0.38827,0.9018,0.99641,1,0.995,0.91074,0.47173,0.40946,0.87368,0.000218,0.000218,0.000218
47,1692.64,0.41011,0.39844,0.86488,0.99653,1,0.995,0.90071,0.48445,0.40987,0.87433,0.0001784,0.0001784,0.0001784
48,1727.39,0.3855,0.38365,0.87335,0.99673,1,0.995,0.90521,0.48974,0.39916,0.87458,0.0001388,0.0001388,0.0001388
49,1762.67,0.39403,0.37239,0.87012,0.99661,1,0.995,0.89565,0.47669,0.40173,0.86069,9.92e-05,9.92e-05,9.92e-05
50,1797.8,0.39115,0.38723,0.88604,0.99665,1,0.995,0.8958,0.46193,0.40515,0.8542,5.96e-05,5.96e-05,5.96e-05
